primary_key,median_house_value_capped,median_house_age_grouped,total_households,bedrooms_per_household,less_than_1h_ocean,inland,island,near_bay,near_ocean,event_time
Bartlett,137240.0,38,1863.0,1.0713902308105208,0,0,0,1,0,2025-05-24T22:50:07Z
Bartolo Square North,180500.0,30,543.0,1.0165745856353592,0,0,0,0,1,2025-05-24T22:50:07Z
Bartolo Square South,181100.0,30,669.0,1.0119581464872944,0,0,0,0,1,2025-05-24T22:50:07Z
Barton,129400.0,10,472.0,1.103813559322034,0,1,0,0,0,2025-05-24T22:50:07Z
Bascom - Forest,272300.0,30,1271.0,1.002360346184107,1,0,0,0,0,2025-05-24T22:50:07Z
Bassett,158355.55555555556,30,4336.0,1.0110972433253744,1,0,0,0,0,2025-05-24T22:50:07Z
Bay Terraces,145245.0,8,8628.0,1.032684283727399,0,0,0,0,1,2025-05-24T22:50:07Z
Bay-O-Vista,302000.0,28,1674.0,0.9850657108721624,0,0,0,1,0,2025-05-24T22:50:07Z
Bayview,194600.0,34,7134.0,1.1501845621904494,0,0,0,1,0,2025-05-24T22:50:07Z
Baywood - Aragon,500000.0,37,3203.0,1.0471433031532937,0,0,0,0,1,2025-05-24T22:50:07Z
Baywood Park,464600.0,20,458.0,1.0502183406113537,0,0,0,0,1,2025-05-24T22:50:07Z
Bear Creek,143387.5,10,2949.0,1.0288233299423533,0,1,0,0,0,2025-05-24T22:50:07Z
Bel Air,472386.4285714286,29,3843.0,1.0645329169919333,1,0,0,0,0,2025-05-24T22:50:07Z
Belding Woods,107083.33333333333,37,2429.0,1.0469328941951421,0,0,0,1,0,2025-05-24T22:50:07Z
Bella Parkway,109300.0,30,771.0,1.0220492866407263,0,1,0,0,0,2025-05-24T22:50:07Z
Bella Vista,154642.85714285713,47,2717.0,1.076186970923813,0,0,0,1,0,2025-05-24T22:50:07Z
Belle Haven,157300.0,30,457.0,1.048140043763676,0,0,0,1,0,2025-05-24T22:50:07Z
Belmont Heights,347900.0,39,5436.0,1.0570272259013982,0,0,0,0,1,2025-05-24T22:50:07Z
Belmont Park,397750.0,42,2156.0,1.0589053803339519,0,0,0,0,1,2025-05-24T22:50:07Z
Belmont Shore,419385.85714285716,40,3965.0,1.0650693568726355,0,0,0,0,1,2025-05-24T22:50:07Z
Belvedere Tiburon,491586.5714285714,26,5242.0,0.9214040442579168,0,0,0,1,0,2025-05-24T22:50:07Z
Benton Park,71366.66666666667,30,1299.0,1.058506543494996,0,1,0,0,0,2025-05-24T22:50:07Z
Benton Tract,66500.0,20,460.0,1.0630434782608695,0,1,0,0,0,2025-05-24T22:50:07Z
Beresford Park,387342.85714285716,36,2654.0,1.025621703089676,0,0,0,0,1,2025-05-24T22:50:07Z
Berkeley Hills,351485.71428571426,47,10055.0,1.035604177026355,0,0,0,1,0,2025-05-24T22:50:07Z
Berkeley Marina,350000.0,30,924.0,1.0064935064935066,0,0,0,1,0,2025-05-24T22:50:07Z
Bernal Heights,267882.35294117645,46,6008.0,1.038948069241012,0,0,0,1,0,2025-05-24T22:50:07Z
Berryessa,288494.17647058825,13,8175.0,1.035474006116208,1,0,0,0,0,2025-05-24T22:50:07Z
Beverly Glen,500000.0,20,197.0,1.015228426395939,1,0,0,0,0,2025-05-24T22:50:07Z
Beverlywood,449631.8125,37,5803.0,1.0401516457004998,1,0,0,0,0,2025-05-24T22:50:07Z
Big Canyon,500000.0,5,457.0,1.7500781494216944,1,0,0,0,0,2025-05-24T22:50:07Z
Bine't Estates,140600.0,10,454.0,0.9647577092511013,0,1,0,0,0,2025-05-24T22:50:07Z
Bird Rock,281633.3333333333,27,1277.0,1.0595144870790916,0,0,0,0,1,2025-05-24T22:50:07Z
Birdland,133500.0,27,1229.0,1.0366151342554923,0,0,0,0,1,2025-05-24T22:50:07Z
Birdland Neighbors,346266.6666666667,27,1455.0,0.9869415807560138,1,0,0,0,0,2025-05-24T22:50:07Z
Birds,235760.0,6,1772.0,1.0220090293453725,0,0,0,1,0,2025-05-24T22:50:07Z
Bixby Hill,500000.0,10,564.0,1.0053191489361701,1,0,0,0,0,2025-05-24T22:50:07Z
Bixby Knolls,278740.0,38,4439.0,1.059472854246452,0,0,0,0,1,2025-05-24T22:50:07Z
Bixby North,253133.33333333334,32,2875.0,1.032695652173913,0,0,0,0,1,2025-05-24T22:50:07Z
Black Mountain Ranch,450400.0,0,1696.0,1.34375,0,0,0,0,1,2025-05-24T22:50:07Z
Blackstock North,183140.0,28,1910.0,1.0094240837696336,0,0,0,0,1,2025-05-24T22:50:07Z
Blacow,240600.0,20,2011.0,1.0353058180009946,1,0,0,0,0,2025-05-24T22:50:07Z
Blair Park,109100.0,15,1538.0,1.1001300390117035,0,1,0,0,0,2025-05-24T22:50:07Z
Blairsden-Graeagle,119666.66666666667,7,712.0,2.057584269662921,0,1,0,0,0,2025-05-24T22:50:07Z
Blanco - Culver Crest,412400.0,35,613.0,1.068515497553018,1,0,0,0,0,2025-05-24T22:50:07Z
Blossom Crest,299866.6666666667,20,910.0,1.0175824175824175,1,0,0,0,0,2025-05-24T22:50:07Z
Blossom Valley,441000.25,28,1288.0,1.0085403726708075,0,0,0,1,0,2025-05-24T22:50:07Z
Blue Hills,500000.0,20,425.0,1.0305882352941176,1,0,0,0,0,2025-05-24T22:50:07Z
Bluff Heights,299440.0,30,3997.0,1.0517888416312233,0,0,0,0,1,2025-05-24T22:50:07Z
Bohemian Village,97500.0,20,736.0,1.0366847826086956,0,1,0,0,0,2025-05-24T22:50:07Z
Bonita - 24th,181250.0,30,2073.0,1.0289435600578871,1,0,0,0,0,2025-05-24T22:50:07Z
Bonnierae,143200.0,15,892.0,1.0706278026905829,0,1,0,0,0,2025-05-24T22:50:07Z
Bonnyview,81100.0,25,606.0,1.0396039603960396,0,1,0,0,0,2025-05-24T22:50:07Z
Boulevard Park,132475.0,45,2000.0,1.1065,0,1,0,0,0,2025-05-24T22:50:07Z
Braeburn Heights,140850.0,30,550.0,1.0527272727272727,0,1,0,0,0,2025-05-24T22:50:07Z
Branham/ Jarvis,247500.0,20,827.0,1.0423216444981862,1,0,0,0,0,2025-05-24T22:50:07Z
Branstetter,72000.0,20,208.0,1.1778846153846154,0,1,0,0,0,2025-05-24T22:50:07Z
Brentwood,500000.0,35,6202.0,1.0691712350854563,1,0,0,0,0,2025-05-24T22:50:07Z
Breslauer's Addition,91200.0,40,1189.0,1.0336417157275022,0,1,0,0,0,2025-05-24T22:50:07Z
Bressi Ranch,255800.0,0,1323.0,1.0861678004535147,0,0,0,0,1,2025-05-24T22:50:07Z
Brewer Subdivision,500000.0,30,391.0,1.0,0,0,0,0,1,2025-05-24T22:50:07Z
Brigadoon,187366.66666666666,10,1303.0,1.0276285495011512,1,0,0,0,0,2025-05-24T22:50:07Z
Brighton Station,186300.0,0,763.0,1.0144167758846658,0,1,0,0,0,2025-05-24T22:50:07Z
Briones,310700.0,0,911.0,1.0559824368825466,0,0,0,1,0,2025-05-24T22:50:07Z
Bristol Manor,168800.0,30,1717.0,1.0588235294117647,1,0,0,0,0,2025-05-24T22:50:07Z
Bristol Warner,190650.0,20,1352.0,1.0244082840236686,1,0,0,0,0,2025-05-24T22:50:07Z
Broadmoor,160100.0,43,1813.0,1.0071704357418643,0,0,0,1,0,2025-05-24T22:50:07Z
Broadway - Palmhaven,281100.0,50,443.0,0.9729119638826185,1,0,0,0,0,2025-05-24T22:50:07Z
Broadway Heights,126700.0,30,582.0,1.063573883161512,0,0,0,0,1,2025-05-24T22:50:07Z
Brockmont,500000.0,30,2017.0,1.029747149231532,1,0,0,0,0,2025-05-24T22:50:07Z
Brookside,134900.0,0,350.0,1.0857142857142856,0,1,0,0,0,2025-05-24T22:50:07Z
Brooktree,257400.0,0,1438.0,0.33664180048046527,1,0,0,0,0,2025-05-24T22:50:07Z
Brookwood Terrace,308000.0,43,907.0,1.0165380374862183,1,0,0,0,0,2025-05-24T22:50:07Z
Brownsville,77100.0,10,114.0,1.3157894736842106,0,1,0,0,0,2025-05-24T22:50:07Z
Bryce Canyon North,187600.0,30,483.0,0.9668737060041408,0,0,0,0,1,2025-05-24T22:50:07Z
Buena Vista,185533.33333333334,27,1353.0,1.0709534368070954,1,0,0,0,0,2025-05-24T22:50:07Z
Buena Vista Meadows,169600.0,20,550.0,1.010909090909091,0,1,0,0,0,2025-05-24T22:50:07Z
Bungalow Heaven,207900.0,42,2348.0,1.0528109028960817,1,0,0,0,0,2025-05-24T22:50:07Z
Burbank,155240.0,34,1934.0,1.0506721820062048,0,0,0,1,0,2025-05-24T22:50:07Z
Burlingame Gate,426900.0,40,1489.0,1.073875083948959,0,0,0,0,1,2025-05-24T22:50:07Z
Burlingame Hills,475000.5,30,968.0,0.9659090909090909,0,0,0,0,1,2025-05-24T22:50:07Z
Burlingame Park,404100.0,40,1263.0,1.0522565320665083,0,0,0,0,1,2025-05-24T22:50:07Z
Butte,165600.0,10,181.0,1.1988950276243093,0,0,0,0,1,2025-05-24T22:50:07Z
Byer-knight,106300.0,10,1248.0,1.0280448717948718,0,1,0,0,0,2025-05-24T22:50:07Z
Cajon,88300.0,30,778.0,1.088688946015424,0,1,0,0,0,2025-05-24T22:50:07Z
Cal-Gisler,172400.0,30,736.0,1.0638586956521738,0,0,0,0,1,2025-05-24T22:50:07Z
Caliente,78700.0,10,722.0,1.6703601108033241,0,1,0,0,0,2025-05-24T22:50:07Z
California Heights,239720.0,46,2065.0,1.0634382566585956,0,0,0,0,1,2025-05-24T22:50:07Z
Cambrian,286041.6666666667,24,5624.0,1.0208036984352773,1,0,0,0,0,2025-05-24T22:50:07Z
Cambrian Community,271400.0,27,1600.0,1.02625,1,0,0,0,0,2025-05-24T22:50:07Z
Cameron Hills,259600.0,30,304.0,1.125,1,0,0,0,0,2025-05-24T22:50:07Z
Cameron Ranch,199000.0,20,253.0,0.9723320158102767,0,1,0,0,0,2025-05-24T22:50:07Z
Campanil,423100.5,30,710.0,1.008450704225352,0,0,0,0,1,2025-05-24T22:50:07Z
Campolindo,426100.0,10,229.0,0.9606986899563319,0,0,0,1,0,2025-05-24T22:50:07Z
Campus Commons,161400.0,30,342.0,0.9883040935672515,0,1,0,0,0,2025-05-24T22:50:07Z
Candlestick,270550.0,20,673.0,1.0178306092124814,1,0,0,0,0,2025-05-24T22:50:07Z
Canoas West,237600.0,10,1238.0,1.024232633279483,1,0,0,0,0,2025-05-24T22:50:07Z
Canoga Park,229864.10256410256,21,28311.0,1.086569077138114,1,0,0,0,0,2025-05-24T22:50:07Z
Canterbury Village,184850.0,25,1325.0,1.040754716981132,0,1,0,0,0,2025-05-24T22:50:07Z
Canyon Country,208650.0,12,5952.0,1.0403225806451613,1,0,0,0,0,2025-05-24T22:50:07Z
Canyon Creek Estates,143800.0,0,369.0,1.1436314363143631,0,1,0,0,0,2025-05-24T22:50:07Z
Canyon Crest,199300.0,10,5249.0,0.9172566203086303,0,1,0,0,0,2025-05-24T22:50:07Z
Canyon Heights - Vallejo Mills,283500.0,10,559.0,1.0679785330948122,1,0,0,0,0,2025-05-24T22:50:07Z
Capistrano Beach,283580.0,16,2599.0,1.1046556367833782,1,0,0,0,0,2025-05-24T22:50:07Z
Capitol - Goss,178600.0,30,645.0,1.1085271317829457,1,0,0,0,0,2025-05-24T22:50:07Z
Cardiff,265983.3333333333,15,3299.0,1.0366777811458017,0,0,0,0,1,2025-05-24T22:50:07Z
Carlsbad Village,272475.25,18,2226.0,1.160826594788859,0,0,0,0,1,2025-05-24T22:50:07Z
Carlton,300100.0,30,1124.0,1.0480427046263345,1,0,0,0,0,2025-05-24T22:50:07Z
Carmel Mountain Ranch,246500.0,0,2895.0,1.1523316062176165,1,0,0,0,0,2025-05-24T22:50:07Z
Carmel Point,487100.0,30,384.0,1.5208333333333333,0,0,0,0,1,2025-05-24T22:50:07Z
Carmel Valley,334940.0,4,6927.0,1.090515374621048,0,0,0,0,1,2025-05-24T22:50:07Z
Carmel Woods,394400.0,40,598.0,1.234113712374582,0,0,0,0,1,2025-05-24T22:50:07Z
Carol Drive,228000.0,10,553.0,1.027124773960217,1,0,0,0,0,2025-05-24T22:50:07Z
Carollands,500000.0,20,846.0,1.033096926713948,0,0,0,0,1,2025-05-24T22:50:07Z
Carriage Square,235400.0,30,1342.0,1.0394932935916543,0,0,0,0,1,2025-05-24T22:50:07Z
Carson Park,224337.5,30,2228.0,1.0233393177737882,1,0,0,0,0,2025-05-24T22:50:07Z
Carvedale,69700.0,30,574.0,1.0522648083623694,0,1,0,0,0,2025-05-24T22:50:07Z
Casa Bella Park,132950.0,25,724.0,1.022099447513812,0,1,0,0,0,2025-05-24T22:50:07Z
Casa Blanca,99500.0,27,874.0,1.0778032036613272,0,1,0,0,0,2025-05-24T22:50:07Z
Casa Bonita,156580.0,16,2376.0,1.023989898989899,1,0,0,0,0,2025-05-24T22:50:07Z
Casa De Santiago,193133.33333333334,27,1291.0,1.0518977536793184,1,0,0,0,0,2025-05-24T22:50:07Z
Casa Grande,299940.0,46,2155.0,1.0111368909512761,0,1,0,0,0,2025-05-24T22:50:07Z
Casa Loma,55400.0,30,872.0,1.1387614678899083,0,1,0,0,0,2025-05-24T22:50:07Z
Cascade,70061.53846153847,20,5573.0,1.0450385788623722,0,1,0,0,0,2025-05-24T22:50:07Z
Castle Heights,366800.25,25,2600.0,1.0742307692307693,1,0,0,0,0,2025-05-24T22:50:07Z
Castlemont,150450.0,30,3972.0,1.1049848942598188,0,0,0,1,0,2025-05-24T22:50:07Z
Castro City,229100.0,18,2103.0,1.0280551592962435,0,0,0,1,0,2025-05-24T22:50:07Z
Cataldi,351600.0,10,280.0,0.9571428571428572,1,0,0,0,0,2025-05-24T22:50:07Z
Catalina Villas,148850.0,12,1588.0,1.1190176322418135,1,0,0,0,0,2025-05-24T22:50:07Z
Cedar Glen,194500.0,15,660.0,3.543939393939394,0,1,0,0,0,2025-05-24T22:50:07Z
Cedarpines Park,103300.0,20,113.0,2.327433628318584,0,1,0,0,0,2025-05-24T22:50:07Z
Centennial,241700.0,10,345.0,0.9536231884057971,0,0,0,0,1,2025-05-24T22:50:07Z
Centerville,243215.7894736842,19,16792.0,1.0410314435445451,0,0,0,1,0,2025-05-24T22:50:07Z
Central Berkeley,196733.33333333334,45,2389.0,1.0359983256592717,0,0,0,1,0,2025-05-24T22:50:07Z
Central City,158100.0,30,936.0,1.0705128205128205,1,0,0,0,0,2025-05-24T22:50:07Z
Central Davis,227766.66666666666,23,3148.0,1.0130241423125794,0,1,0,0,0,2025-05-24T22:50:07Z
Central District,187825.0,15,2809.0,1.0964756140975436,1,0,0,0,0,2025-05-24T22:50:07Z
Central Escondido,153756.25,14,12733.0,1.1042959239770676,1,0,0,0,0,2025-05-24T22:50:07Z
Central LA,308002.94861660077,35,151254.0,1.0710005606995487,1,0,0,0,0,2025-05-24T22:50:07Z
Central Portola Valley,500000.0,20,559.0,1.033989266547406,0,0,0,0,1,2025-05-24T22:50:07Z
Central San Jose,218989.6551724138,38,11882.0,1.058828480053863,1,0,0,0,0,2025-05-24T22:50:07Z
Central San Mateo,356241.8333333333,36,4170.0,1.0453237410071943,0,0,0,0,1,2025-05-24T22:50:07Z
Central San Pedro,194200.0,23,1203.0,1.0714879467996674,0,0,0,0,1,2025-05-24T22:50:07Z
Central Waterfront,281166.6666666667,50,1696.0,1.0919811320754718,0,0,0,1,0,2025-05-24T22:50:07Z
Century City,500000.0,40,2885.0,1.0984402079722704,1,0,0,0,0,2025-05-24T22:50:07Z
Chabot Park,279000.0,33,1311.0,1.05720823798627,0,0,0,1,0,2025-05-24T22:50:07Z
Channel Islands,500000.0,10,667.0,1.214392803598201,0,0,0,0,1,2025-05-24T22:50:07Z
Chapmantown,73050.0,35,1075.0,1.093953488372093,0,1,0,0,0,2025-05-24T22:50:07Z
Charter Oak,211569.5652173913,22,13874.0,1.0282542885973764,1,0,0,0,0,2025-05-24T22:50:07Z
Chatsworth,308430.8461538461,14,13114.0,1.0425499466219308,1,0,0,0,0,2025-05-24T22:50:07Z
Cherry - Guardino,250800.0,15,2561.0,1.0175712612260837,1,0,0,0,0,2025-05-24T22:50:07Z
Cheviot Hills,500000.0,38,2581.0,1.1232080588919024,1,0,0,0,0,2025-05-24T22:50:07Z
Chevy Chase,464400.3333333333,17,1571.0,1.043921069382559,1,0,0,0,0,2025-05-24T22:50:07Z
Chollas View,101550.0,15,1312.0,1.1189024390243902,0,0,0,0,1,2025-05-24T22:50:07Z
Churchill Downs,144400.0,0,984.0,1.1504065040650406,0,1,0,0,0,2025-05-24T22:50:07Z
Cimmeron,79200.0,20,341.0,1.0909090909090908,0,1,0,0,0,2025-05-24T22:50:07Z
Cirby Side,267400.0,0,631.0,1.0649762282091917,0,1,0,0,0,2025-05-24T22:50:07Z
Citrus Grove,234340.0,16,4419.0,1.0565738854944557,1,0,0,0,0,2025-05-24T22:50:07Z
City Heights,103216.21621621621,18,19005.0,1.0838726650881347,0,0,0,0,1,2025-05-24T22:50:07Z
Civic Center,149440.1,36,8952.0,1.0986371760500446,0,1,0,0,0,2025-05-24T22:50:07Z
Clairemont,203450.0,25,29462.0,1.0319479329305545,0,0,0,0,1,2025-05-24T22:50:07Z
Claremont,412216.6666666667,45,2512.0,1.0720541401273886,0,0,0,1,0,2025-05-24T22:50:07Z
Claremont Hills,500000.0,50,214.0,1.0514018691588785,0,0,0,1,0,2025-05-24T22:50:07Z
Clarkdale,355325.25,32,2229.0,1.0524899057873487,1,0,0,0,0,2025-05-24T22:50:07Z
Cleveland Heights,266150.0,35,4757.0,1.1046878284633173,0,0,0,1,0,2025-05-24T22:50:07Z
Clover Field,88300.0,20,420.0,0.9428571428571428,0,1,0,0,0,2025-05-24T22:50:07Z
Coliseum,83383.33333333333,37,1669.0,1.0695026962252847,0,0,0,1,0,2025-05-24T22:50:07Z
Coliseum Industrial,80275.0,38,747.0,1.0776439089692103,0,0,0,1,0,2025-05-24T22:50:07Z
College Estates,251800.0,30,743.0,0.9959623149394348,1,0,0,0,0,2025-05-24T22:50:07Z
College Hills,429100.0,30,547.0,1.0639853747714807,1,0,0,0,0,2025-05-24T22:50:07Z
College Park,249283.33333333334,28,4204.0,1.0868220742150334,1,0,0,0,0,2025-05-24T22:50:07Z
College Terrace,404800.0,40,832.0,1.0084134615384615,0,0,0,1,0,2025-05-24T22:50:07Z
College West,180700.0,25,5834.0,1.0489209396477137,0,0,0,0,1,2025-05-24T22:50:07Z
Columbia,116425.0,5,2211.0,1.088647670737223,0,1,0,0,0,2025-05-24T22:50:07Z
Columbia Gardens,82200.0,40,531.0,1.024482109227872,0,0,0,1,0,2025-05-24T22:50:07Z
Condit,406500.0,30,132.0,1.053030303030303,0,0,0,1,0,2025-05-24T22:50:07Z
Cooley Ranch,88300.0,0,1789.0,1.179988820570151,0,1,0,0,0,2025-05-24T22:50:07Z
Cordova Meadows,120566.66666666667,23,3060.0,1.0611111111111111,0,1,0,0,0,2025-05-24T22:50:07Z
Core-Columbia,183333.33333333334,30,1468.0,1.087874659400545,0,0,0,0,1,2025-05-24T22:50:07Z
Corliss,389900.0,20,1269.0,1.0055161544523246,0,0,0,1,0,2025-05-24T22:50:07Z
Corona Del Mar,498290.8,25,5325.0,1.0794366197183098,1,0,0,0,0,2025-05-24T22:50:07Z
Corona Heights,77150.0,30,317.0,1.0757097791798107,0,1,0,0,0,2025-05-24T22:50:07Z
Coronado,105025.0,25,1232.0,1.0917207792207793,0,0,0,1,0,2025-05-24T22:50:07Z
Cortez Hill,193750.0,50,646.0,0.9053283363206779,0,0,0,0,1,2025-05-24T22:50:07Z
Cory,285300.0,30,771.0,0.9740596627756161,1,0,0,0,0,2025-05-24T22:50:07Z
Cottonwood,42866.666666666664,23,742.0,1.082210242587601,0,1,0,0,0,2025-05-24T22:50:07Z
Country Club,312880.4,16,2775.0,1.073153153153153,1,0,0,0,0,2025-05-24T22:50:07Z
Country Heights,86500.0,10,738.0,1.0311653116531165,0,1,0,0,0,2025-05-24T22:50:07Z
Country Hills,350000.0,30,124.0,0.9919354838709677,1,0,0,0,0,2025-05-24T22:50:07Z
Cow Hollow,482411.44444444444,50,5270.0,1.0671726755218216,0,0,0,1,0,2025-05-24T22:50:07Z
Cox,92385.71428571429,37,1842.0,1.086845141150923,0,0,0,1,0,2025-05-24T22:50:07Z
Coyote - Fontanelle,241100.0,10,1321.0,1.0068130204390613,1,0,0,0,0,2025-05-24T22:50:07Z
Crafton,123466.66666666667,23,1646.0,1.071688942891859,0,1,0,0,0,2025-05-24T22:50:07Z
Creekside,98100.0,10,766.0,1.010443864229765,0,1,0,0,0,2025-05-24T22:50:07Z
Crescent City North,73200.0,10,479.0,1.2860125260960333,0,0,0,0,1,2025-05-24T22:50:07Z
Crescent Park,500000.0,48,1222.0,1.0458265139116203,0,0,0,1,0,2025-05-24T22:50:07Z
Crescenta Highlands,286350.0,32,5182.0,1.0347356233114628,1,0,0,0,0,2025-05-24T22:50:07Z
Crest Park,137200.0,20,423.0,3.9361702127659575,0,1,0,0,0,2025-05-24T22:50:07Z
Cresthaven,139200.0,0,1043.0,1.0536912751677852,0,1,0,0,0,2025-05-24T22:50:07Z
Crestmont,302000.0,25,523.0,1.0152963671128108,0,0,0,1,0,2025-05-24T22:50:07Z
